epoch,accuracy,loss,val_accuracy,val_loss
0,0.7620000243186951,0.719535768032074,0.8912500143051147,0.27217382192611694
1,0.8460000157356262,0.3815186619758606,0.7975000143051147,0.5694345235824585
2,0.8769999742507935,0.34842127561569214,0.8612499833106995,0.38584738969802856
3,0.887499988079071,0.29208919405937195,0.8999999761581421,0.28045853972435
4,0.9129999876022339,0.2428305596113205,0.8725000023841858,0.4187173545360565
5,0.9240000247955322,0.21966923773288727,0.8525000214576721,0.5451696515083313
6,0.9304999709129333,0.19632284343242645,0.9037500023841858,0.2976643443107605
7,0.9415000081062317,0.16098016500473022,0.9024999737739563,0.383619487285614
8,0.9495000243186951,0.15585535764694214,0.887499988079071,0.4817180633544922
9,0.9505000114440918,0.14420315623283386,0.8787500262260437,0.5276829600334167
